kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec
9520838,"K01866.01","CONFIRMED",105.3035093,0.0004305,-0.0004305,6.214,1362.2,3.18,0.38,-0.19,351.0,3.58,0.027,40.60,5534.00,4.515,0.8750,289.411070,46.130852
8167996,"K01867.01","CONFIRMED",2.549562652,3.743e-06,-3.743e-06,1.6999,495.1,1.11,0.07,-0.11,682.0,50.90,0.047,43.70,3716.00,4.740,0.5060,292.642360,44.087669
8167996,"K01867.02","CONFIRMED",13.96950181,2.153e-05,-2.153e-05,1.5871,1110,2.04,0.13,-0.2,387.0,5.29,0.901,37.00,3716.00,4.740,0.5060,292.642360,44.087669
8167996,"K01867.03","CONFIRMED",5.21230171,1.309e-05,-1.309e-05,2.098,430,1.04,0.06,-0.11,537.0,19.70,0.187,29.30,3716.00,4.740,0.5060,292.642360,44.087669
6773862,"K01868.01","CONFIRMED",17.76076524,2.697e-05,-2.697e-05,1.6679,1287.2,1.93,0.14,-0.15,368.0,4.34,0.627,42.60,3826.00,4.744,0.5160,290.708400,42.237251
9651234,"K01938.01","CONFIRMED",96.9151707,0.0002916,-0.0002916,6.065,862.8,2.37,0.17,-0.13,325.0,2.64,0.541,53.40,5162.00,4.559,0.7910,292.672550,46.377419
7045496,"K01939.01","CONFIRMED",13.47472742,4.462e-05,-4.462e-05,2.5995,729.6,1.96,0.33,-0.15,634.0,38.21,0.025,25.30,5395.00,4.615,0.7340,295.204900,42.559681
10005788,"K01940.01","CONFIRMED",10.99470891,1.916e-05,-1.916e-05,1.5929,884.7,1.71,0.15,-0.17,512.0,16.24,0.265,32.70,4302.00,4.661,0.5860,289.352020,46.973728
5213902,"K01941.01","FALSE POSITIVE",1.194812329,1.866e-06,-1.866e-06,1.3777,189.5,1.36,0.43,-0.14,1806.0,2521.46,0.404,41.20,6198.00,4.475,0.9700,298.217650,40.341019
2832589,"K01942.01","CONFIRMED",10.84969477,2.777e-05,-2.777e-05,3.474,1122.1,2.67,0.38,-0.21,676.0,49.30,0.55,43.50,5251.00,4.592,0.7780,286.006740,38.009541
2832589,"K01942.02","CANDIDATE",2.433703498,8.972e-06,-8.972e-06,0.975,258.3,1.66,0.24,-0.12,1112.0,362.64,0.952,10.20,5251.00,4.592,0.7780,286.006740,38.009541
7810483,"K01943.01","CONFIRMED",29.92208104,6.9e-05,-6.9e-05,2.7716,345.3,3.09,0.67,-0.89,782.0,88.52,0.38,37.60,6127.00,4.055,1.6370,287.236760,43.567211
8492026,"K02016.01","CONFIRMED",4.30656389,1.364e-05,-1.364e-05,4.1107,257,1.95,0.67,-0.23,1177.0,453.20,0.894,39.80,6108.00,4.466,1.0300,290.601140,44.556381
8750043,"K02017.01","CONFIRMED",2.29503515,1.29e-05,-1.29e-05,1.654,172.1,1.18,0.16,-0.08,1304.0,681.51,0.16,11.60,5637.00,4.482,0.9090,290.486760,44.932621
9973109,"K02018.01","CONFIRMED",27.495634,0.0001485,-0.0001485,4.858,483.3,2.11,0.61,-0.37,590.0,28.66,0.664,24.70,5657.00,4.401,0.9110,299.526000,46.899261
9973109,"K02018.02","CANDIDATE",16.0988294,0.0002694,-0.0002694,5.686,160.2,1.14,0.33,-0.2,705.0,58.53,0.017,10.90,5657.00,4.401,0.9110,299.526000,46.899261
6226290,"K02019.01","CONFIRMED",14.08826442,5.244e-05,-5.244e-05,4.1847,889.4,2.66,0.77,-0.26,724.0,64.97,0.133,34.20,5853.00,4.529,0.8950,297.452150,41.558128
9349482,"K02020.01","CONFIRMED",110.9643706,0.0008471,-0.0008471,12.831,1283.2,2.11,0.15,-0.19,239.0,0.77,0.729,42.10,4441.00,4.695,0.5460,294.595790,45.875031
6356207,"K02021.01","CONFIRMED",3.76417012,1.149e-05,-1.149e-05,2.0111,558.4,1.7,0.21,-0.14,908.0,160.99,0.287,27.20,5063.00,4.617,0.7280,289.220210,41.706478
6768394,"K02086.01","CONFIRMED",7.1329472,3.635e-05,-3.635e-05,4.368,145,1.64,0.26,-0.32,1102.0,349.21,0.612,27.20,5862.00,4.194,1.3070,288.961240,42.265011
6768394,"K02086.02","CONFIRMED",8.91901228,5.078e-05,-5.078e-05,4.141,180.6,1.84,0.29,-0.36,1023.0,258.92,0.619,29.60,5862.00,4.194,1.3070,288.961240,42.265011
6768394,"K02086.03","CONFIRMED",11.8984948,0.0001417,-0.0001417,3.015,130.9,1.69,0.27,-0.33,929.0,176.27,0.836,15.90,5862.00,4.194,1.3070,288.961240,42.265011
6922710,"K02087.01","CONFIRMED",23.1274171,0.0001567,-0.0001567,4.901,157.3,1.44,0.23,-0.13,667.0,46.89,0.737,20.90,5865.00,4.393,1.0660,281.561460,42.450500
12164770,"K02088.01","FALSE POSITIVE",2.63009438,1.249e-05,-1.249e-05,11.226,388.9,25.55,8.26,-2.77,1480.0,1135.97,1.195,69.40,6338.00,4.418,1.0910,294.395570,50.719589
9541322,"K02089.01","FALSE POSITIVE",9.40527028,2.8e-05,-2.8e-05,2.076,470.9,25.39,8.13,-2.7,938.0,182.72,1.212,20.70,6347.00,4.464,0.9960,297.335820,46.150990
6383785,"K00239.02","CONFIRMED",3.62275506,1.499e-05,-1.499e-05,2.7868,180.6,1.62,0.27,-0.24,1304.0,683.84,0.007,22.30,5794.00,4.282,1.2160,297.201540,41.730209
11358389,"K02163.03","CANDIDATE",28.2251049,0.0003377,-0.0003377,2.354,201.3,1.59,0.52,-0.21,625.0,36.13,0.778,8.90,6014.00,4.436,1.0210,295.626590,49.130428
7204981,"K02164.01","CONFIRMED",5.1233204,2.06e-05,-2.06e-05,2.7466,286.2,1.65,0.17,-0.2,994.0,231.12,0.308,25.10,5364.00,4.394,0.9820,293.217380,42.720711
7906739,"K02165.01","FALSE POSITIVE",7.01476115,4.22e-05,-4.22e-05,3.945,122.1,1.02,0.27,-0.11,928.0,175.85,0.687,27.50,5912.00,4.501,0.8700,296.801700,43.654259
4370527,"K02166.01","CONFIRMED",61.6174528,0.0003573,-0.0003573,3.816,1350.7,3.36,0.41,-0.2,424.0,7.67,0.091,19.50,5480.00,4.485,0.9310,293.063350,39.403450
6041734,"K02167.01","CONFIRMED",24.3398202,0.0001434,-0.0001434,3.891,777.3,5.09,0.85,-1.13,737.0,69.79,0.928,27.80,5596.00,4.105,1.4660,291.604490,41.309361
8478994,"K00245.02","CONFIRMED",21.30181863,7.799e-05,-7.799e-05,3.8763,87.3,0.72,0.03,-0.03,564.0,23.89,0.086,32.40,5437.00,4.571,0.7810,284.059540,44.518215
6041734,"K02167.03","CONFIRMED",76.5369531,0.0008236,-0.0008236,5.574,652.2,3.73,0.63,-0.83,503.0,15.15,0.327,17.70,5596.00,4.105,1.4660,291.604490,41.309361
5005121,"K02237.01","CONFIRMED",76.421501,0.001323,-0.001323,7.218,578.4,2.81,0.42,-0.51,455.0,10.11,0.015,23.90,5561.00,4.263,1.1900,289.979340,40.142830
8229458,"K02238.01","CONFIRMED",1.646801683,3.512e-06,-3.512e-06,1.1966,284.2,0.86,0.07,-0.06,806.0,99.80,0.129,25.20,3810.00,4.753,0.5130,290.434020,44.107651
